date,close,high,low,open,volume,tic,day,ret_1d,ret_5d,sma_ratio,vol_20d,vol_ratio,rsi_14,macd_hist,bb_width,obv_ret,adx,adx_di_diff,sma_200_dist,drawdown_60d,vol_regime,ret_20d
2012-08-08,110.47940063476562,110.60521330624567,109.94465178359653,109.9761139509423,89754700,SPY,2,0.05521639824044061,0.8302973492793613,0.856047837250566,0.11715771607806122,-0.978783181871026,0.6749268986689452,0.7221327865852274,0.05587403083514122,-0.01274615698668524,-0.8797880581558815,0.6404818924191581,0.16292328768385886,0.634017911420455,-0.2239787968144546,0.8658949206513183
2012-08-09,110.57380676269533,110.7939940237818,110.21206369130708,110.32215732185033,90291700,SPY,3,0.021472230732849398,1.1989521228269484,0.7784795499814114,0.09339370111629507,-0.9317967478996452,0.7052079112566441,0.7160299139901446,0.03201806600781168,-0.012971312963046721,-0.8266941808937728,0.6930957945958708,0.16699579373133006,0.634017911420455,-0.26230702401915096,1.0150232221937885
2012-08-10,110.75466918945312,110.79399091339448,109.94469207334411,110.12555760430782,99792700,SPY,4,0.09541456947656668,0.3504215354190869,0.7688095464229054,-0.008494976448033759,-0.7128736825498488,0.7659132991355038,0.683634741323758,0.0974444456042919,-0.012409639054309465,-0.8084575033295156,0.533434772256348,0.18459092603771254,0.634017911420455,-0.47005806421637436,0.6250272512987246
2012-08-13,110.6996078491211,110.7546486529888,110.12553718449526,110.56592361195298,79426900,SPY,0,-0.10647231763888515,0.2369296246676269,0.660065234819673,-0.014756999350790516,-1.126075530673373,0.7293043522393926,0.5959483942991008,0.12272167851448769,-0.027648397295330616,-0.7915234455912769,0.5059606268705924,0.16084708886452337,0.6208212529019025,-0.42142310848795644,0.6731246154466833
2012-08-14,110.7153549194336,111.17933209429016,110.38507401483984,111.108548186708,102379400,SPY,1,-0.04594867366535103,0.011080778594492297,0.5948806842727694,-0.026323360238458052,-0.6142829042838672,0.7353384123708863,0.487759998224813,0.1598529473453885,-0.012249867097574283,-0.7388138616077013,0.6677004277832009,0.15300732308719067,0.6245953838679965,-0.4216057492985277,0.5005064690826256
2012-08-15,110.84115600585938,111.02989305364966,110.52660625884592,110.5973781520284,71085900,SPY,2,0.04814131755733152,0.007619378278714883,0.5877850953742324,-0.04421326810045484,-1.2553406938560352,0.7863147527004826,0.39018231959528354,0.21072200332787255,-0.015144900893304806,-0.689869247908667,0.6399299459308012,0.16474115284139854,0.634017911420455,-0.39551687569901167,0.340703080732746
2012-08-16,111.65898895263672,111.79267317641222,110.72318738690618,110.99841537727856,112014200,SPY,3,0.6390080746951677,0.309826601707865,0.8473803806536342,-0.026915046895234617,-0.3530000935763262,1.1017267718710628,0.42044154842715303,0.30088006167994835,-0.0119781319654071,-0.5779349307700269,0.9508499560334285,0.2972243076544885,0.634017911420455,-0.36733862562372877,0.4617775249140838
2012-08-17,111.80843353271484,111.90280807791692,111.55679607722436,111.84775525994016,90813700,SPY,4,0.06727580278850187,0.2959772134563939,0.8150861378366107,-0.08924011022763642,-0.7735325622153028,1.1563903022189705,0.41703259592343933,0.35114820213987996,-0.013954083622325088,-0.4647480970320718,0.9800645798092078,0.30725430651600244,0.634017911420455,-0.5040788920245671,0.7330712194447749
2012-08-20,111.81626892089844,111.8398595497441,111.3444323453802,111.65112251967628,78255700,SPY,0,-0.052780260839822186,0.32245199629439086,0.7040455308021177,-0.17126693531014667,-1.004822447591063,1.1594128733539755,0.3666743101953215,0.31037310141861857,-0.015104453569817284,-0.39379014377800275,0.8271379525701975,0.2934397451787633,0.634017911420455,-0.6845510034655425,0.9995502100947593
2012-08-21,111.47810363769533,112.5239987259142,111.23432583504676,112.0914839151017,105581100,SPY,1,-0.3456853131131326,0.17466682515226029,0.44415525119067195,-0.22608638568563316,-0.31117829642674993,0.8520106016569823,0.22996585354459842,0.12285612825787888,-0.028824391244369203,-0.26678141783335513,1.0911125429558877,0.21987074647480023,0.553738668648468,-0.8045134237636646,1.14639127327634
2012-08-22,111.52533721923828,111.70620275123714,110.93554735465868,111.19504433568486,133243500,SPY,2,-0.01930715073882899,0.14154955717174997,0.3382687775548331,-0.2266884867294415,0.3336303963395594,0.8741851474566864,0.11014479783442725,-0.1417633424241097,-0.010857157546552962,-0.19855826403561191,0.8637813436150268,0.21454927049887704,0.5649517539296074,-0.7782359107226002,1.1516502966485571
2012-08-23,110.61312103271484,111.2579516826352,110.44011505362047,111.25009213787818,111466400,SPY,3,-0.8336588082173735,-0.5765394188602219,-0.09426711800580485,-0.2832201318703514,-0.1265891627907161,0.08301731219460413,-0.15794068328590574,-0.29814458852093734,-0.029190386750882747,-0.21458839675318625,0.5228130735740345,0.039603010710718915,0.3483948560576655,-0.867085574184141,0.5125909885886426
2012-08-24,111.28152465820312,111.53317404215623,110.2670915774869,110.33786346698508,99481200,SPY,4,0.5125735689725828,-0.3614710778745983,0.12621615133239178,-0.4644689565787074,-0.2636012049952361,0.44165194603813146,-0.23090632948895376,-0.30921732144467734,-0.01348537069703538,-0.20043399088818645,0.6026376176191124,0.14709214951208038,0.5070715138505416,-1.2771021125840418,0.2001111817926513
2012-08-27,111.30510711669922,111.72976242111876,111.14783226292622,111.58034711027864,68785900,SPY,0,-0.03935421557557005,-0.35494788735985344,0.09068142716265808,-0.4647567192383261,-1.0130987793262103,0.45395010160320237,-0.28986522946904053,-0.32873361766929277,-0.01596903633551386,-0.16644900230662985,0.674724579071636,0.13612432718559841,0.5126699061303039,-1.1206566358680392,0.20548806567654074
2012-08-28,111.19501495361328,111.541026835959,110.8568746136042,111.02200901244042,75689600,SPY,1,-0.15303952188695907,-0.2610450035370965,-0.01057743532758068,-0.5114514678093247,-0.7925759908529892,0.3556233830035806,-0.35905959579373015,-0.4179737942699853,-0.026476406765337798,-0.18549673363836588,0.47217606827407615,0.10234237069650493,0.4865344158045238,-1.2336964199383418,0.35896676051125503
2012-08-29,111.28152465820312,111.58035530182168,110.97483447107469,111.28939620101607,65421300,SPY,2,0.01422966271587784,-0.24472097096648807,-0.037581124098474854,-0.5150765965349886,-1.001801951054165,0.4075321998167195,-0.39559289074588366,-0.5434581844307069,-0.01620630484984129,-0.19840152402781522,0.46400689438247117,0.10519825877325976,0.5070715138505416,-1.2346565669403708,0.4011117229998904
2012-08-30,110.47940063476562,110.83327202194904,110.24348237687634,110.80180985460323,96589900,SPY,3,-0.7417095016985485,-0.1995604686467744,-0.41354912307891195,-0.5111141082596035,-0.006820920702915883,-0.3004187976820646,-0.5661667586845334,-0.8625456539592449,-0.02800276289207162,-0.33505128157458053,0.0035732735999632957,-0.04999092202173859,0.3166501063043799,-1.1331503306142834,0.3932935977424832
2012-08-31,111.00628662109376,111.52530442915824,110.37717521731574,111.108508674705,151970400,SPY,4,0.3920153946348754,-0.25799220471625145,-0.23399821170658588,-0.8244107187495179,1.6040940001136064,0.04723664346332209,-0.5730058067529726,-0.9352402574061024,-0.009723550859406193,-0.3719849777054003,0.3686629512737878,0.03100523763676833,0.44173097684480694,-1.9227050344558283,0.015660188692277338
2012-09-04,110.90406799316406,111.2422203694384,110.19632506504182,110.91192753705744,120226200,SPY,1,-0.14657763136979937,-0.3101976742665667,-0.29605081348521134,-0.8239332682902999,0.6251705762340812,-0.0409321352878991,-0.5909567338966892,-1.001646361939082,-0.02956931710322505,-0.43641830495239375,0.22595657016360413,-0.0011168520371803276,0.4174646359310961,-1.9141133120782168,-0.05619707103181722
2012-09-05,110.80970764160156,111.25008209433796,110.58952041523337,110.95125143027946,100660300,SPY,2,-0.13995088033416633,-0.30382457595285917,-0.34229575557844444,-0.8476041254619625,0.08196044519230303,-0.12565365698119313,-0.6101970834268761,-1.0237478018673036,-0.028439830886023008,-0.4951788004217259,0.20939128869662985,-0.03313985698714272,0.3950638220468805,-1.940369705175414,-0.20276326022209493
2012-09-06,113.0587158203125,113.06657536037336,111.47021277928056,111.47807231934142,158272500,SPY,3,1.8617636134217044,0.5943092526867283,0.4910382301088037,-0.49234895655266775,1.5734921893250564,1.0767628785090553,-0.21879298780508338,-0.8801928570180925,-0.009000992073965064,-0.34985120685518667,1.0795196483945353,0.34788412936978447,0.634017911420455,-1.0961659834923323,0.27321039133983704
2012-09-07,113.49913024902344,113.54631150469493,113.14525883218532,113.24748088637284,107272100,SPY,4,0.3093190339944082,1.1193960893080688,0.6055278125251405,-0.48718836564127616,0.1416631962209937,1.2438167919915832,0.08423636398282985,-0.7329709740033368,-0.013260371445861285,-0.1750029678342839,1.2917499902436145,0.4059360374445797,0.634017911420455,-1.0678504133964848,0.3505229939620213
2012-09-10,112.85430908203124,113.58565468104274,112.81499936107828,113.38905807906067,86458500,SPY,0,-0.5971891819518981,0.6256257929897515,0.31070491978041875,-0.45309107945184657,-0.41210603783731203,0.6981918668363432,0.14113801502560339,-0.6847019331276799,-0.027090418111935112,-0.07194159573462713,1.0297542517815383,0.2722413999221359,0.48320935046492675,-0.9727993333128463,0.16407727114476647
2012-09-11,113.16890716552734,113.53063830965893,112.8936670346944,112.92512922071953,88760000,SPY,1,0.20445757714992407,0.8000132452219193,0.3849586836988579,-0.45258420222001955,-0.3599938257074309,0.8355864719370566,0.2011026539853621,-0.6300797205332783,-0.01464008124528905,0.023758249786483034,0.9686398009117687,0.30606390025852476,0.5567864702619082,-0.9489477973300983,0.24734402609406017
2012-09-12,113.54631042480467,113.67213510493332,113.16097684164896,113.54631042480467,87640900,SPY,2,0.2562558731527037,0.997557804057761,0.47643014303645453,-0.45010093111897315,-0.37305206724996126,0.9964890258492506,0.27009210957461494,-0.5637339359665828,-0.01488218774492149,0.12675736135928176,1.0046693506150337,0.35037389671574215,0.634017911420455,-0.9437781610980024,0.32848820232908943
2012-09-13,115.2764129638672,115.63028454674436,113.23181492985044,113.53063368907834,225470200,SPY,3,1.3828777827002716,0.7627595566470422,1.0639030913055012,-0.32451765714746783,2.9887020785262113,1.5935784349706912,0.5605681996964745,-0.34191455699713746,-0.0056105824349991324,0.37630554795618704,1.8218609732690472,0.6338336517333134,0.634017911420455,-0.6639226012133937,0.6876619629697096
2012-09-14,115.78752136230467,116.47167359307274,115.41004730457524,115.50442181865886,169777000,SPY,4,0.3602745101507517,0.7880253342978398,1.1802342059407112,-0.3397134118217826,1.4473589714623842,1.7350195762617004,0.7744459585379029,-0.11541311476935337,-0.010111297196746246,0.6556981557169469,2.0898739682869496,0.7018298791478691,0.634017911420455,-0.7022348474552004,0.6120704343436444
2012-09-17,115.39437866210938,115.74825024653336,115.10340744883422,115.55165358859696,119427800,SPY,0,-0.38081136506485525,0.8964056048033215,0.9552323634409472,-0.32291648477917345,0.15187788976928746,1.4017202932148314,0.7829735915971647,0.021901156081581854,-0.02837305070029015,0.8588525479121877,1.819642850126512,0.6146961989333614,0.5438882575749793,-0.4665639309510864,0.49017518019232603
2012-09-18,115.29998016357422,115.44939551246752,115.00902101002738,115.19775808220398,98326600,SPY,1,-0.13684825111099366,0.7265049234693549,0.8490355525239452,-0.32069559374882917,-0.38989133334151904,1.3207396549535428,0.7044809307723547,0.12389919538546473,-0.027263671515634202,1.0298063166727096,1.7034156151693074,0.5802955462891166,0.5222469960374259,-0.44884023108589477,0.4673850179081642
